Neuron_ID,X,Y,Z,Cluster_Number
566.0,1321.61265,1479.507882133867,16.377932773109162,12
567.0,2211.8023200000002,1473.4318744043644,16.31067226890748,3
568.0,1379.33826,1485.5838898633697,16.445193277310842,12
569.0,3381.50547,1482.5458859986184,16.411563025209997,8
571.0,1427.9493,1470.3938705396133,16.27704201680664,12
572.0,2877.16593,1488.621893728121,16.47882352941168,1
573.0,3132.3738900000003,1491.6598975928723,16.512453781512523,8
575.0,975.25899,1476.4698782691157,16.34430252100832,12
576.0,1509.98043,1485.5838898633697,16.445193277310842,12
577.0,1807.72305,1494.6979014576234,16.546084033613365,3
579.0,2676.64539,1485.5838898633697,16.445193277310842,1
580.0,1142.3594400000002,1485.5838898633697,16.445193277310842,12
581.0,355.46823,1494.6979014576234,16.546084033613365,11
582.0,1756.07382,1485.5838898633697,16.445193277310842,3
583.0,1671.0045,1500.773909187126,16.613344537815042,3
584.0,3022.9990500000004,1497.7359053223747,16.579714285714203,8
585.0,3180.98493,1506.8499169166284,16.680605042016722,8
587.0,1619.35527,1500.773909187126,16.613344537815042,12
588.0,3305.55072,1503.8119130518774,16.64697478991588,8
590.0,3089.83923,1509.8879207813798,16.71423529411756,1
591.0,3448.34565,1509.8879207813798,16.71423529411756,8
592.0,3250.8633,1515.9639285108824,16.781495798319245,8
594.0,2910.58602,1528.1159439698872,16.916016806722602,8
595.0,2971.3498200000004,1522.0399362403848,16.848756302520922,1
596.0,1552.51509,1522.0399362403848,16.848756302520922,12
597.0,2397.13191,1522.0399362403848,16.848756302520922,1
598.0,2196.61137,1519.0019323756335,16.81512605042008,3
599.0,1883.6778000000002,1531.1539478346388,16.949647058823444,3
600.0,1327.68903,1540.2679594288925,17.050537815125963,12
601.0,1418.83473,1534.19195169939,16.983277310924286,12
602.0,1473.52215,1522.0399362403848,16.848756302520922,12
603.0,3035.1518100000003,1549.3819710231462,17.151428571428486,8
604.0,565.10334,1543.3059632936438,17.084168067226805,11
605.0,3314.6652900000004,1555.4579787526488,17.218689075630166,8
606.0,1707.46278,1567.6099942116539,17.353210084033524,2
607.0,218.74968,1573.6860019411563,17.420470588235208,11
608.0,461.80488,1549.3819710231462,17.151428571428486,11
609.0,3366.3145200000004,1561.5339864821512,17.285949579831843,8
610.0,3132.3738900000003,1549.3819710231462,17.151428571428486,8
611.0,4347.649890000001,1552.4199748878975,17.185058823529324,5
612.0,1169.70315,1558.4959826174002,17.252319327731005,12
613.0,1379.33826,1564.5719903469026,17.319579831932685,12
614.0,3527.3385900000003,1558.4959826174002,17.252319327731005,8
615.0,3411.8873700000004,1561.5339864821512,17.285949579831843,8
616.0,3253.90149,1576.7240058059076,17.454100840336043,8
617.0,1926.2124600000002,1558.4959826174002,17.252319327731005,3
618.0,1032.9846,1573.6860019411563,17.420470588235208,12
619.0,1464.40758,1576.7240058059076,17.454100840336043,12
620.0,3187.06131,1570.647998076405,17.386840336134366,8
621.0,2731.3328100000003,1594.9520289944153,17.655882352941084,3
622.0,2445.7429500000003,1582.8000135354102,17.521361344537727,3
623.0,1087.67202,1591.914025129664,17.62225210084025,12
624.0,1324.65084,1594.9520289944153,17.655882352941084,2
625.0,1874.5632300000002,1579.762009670659,17.487731092436885,3
626.0,2871.08955,1591.914025129664,17.62225210084025,1
627.0,352.43004,1579.762009670659,17.487731092436885,11
628.0,3114.1447500000004,1604.066040588669,17.756773109243607,8
631.0,1172.74134,1601.028036723918,17.72314285714277,12
632.0,2527.77408,1601.028036723918,17.72314285714277,1
633.0,3518.22402,1607.1040444534203,17.79040336134445,8
635.0,2093.31291,1616.218056047674,17.891294117646968,3
636.0,3384.5436600000003,1616.218056047674,17.891294117646968,8
637.0,3305.55072,1616.218056047674,17.891294117646968,8
639.0,1370.22369,1637.484083100933,18.126705882352848,2
640.0,3202.25226,1637.484083100933,18.126705882352848,5
641.0,2962.23525,1646.5980946951868,18.22759663865537,1
642.0,559.02696,1646.5980946951868,18.22759663865537,11
643.0,1060.32831,1637.484083100933,18.126705882352848,12
644.0,1303.3835100000001,1646.5980946951868,18.22759663865537,12
645.0,601.5616200000001,1664.8261178836945,18.429378151260412,11
646.0,1139.32125,1646.5980946951868,18.22759663865537,12
647.0,3053.38095,1655.7121062894405,18.32848739495789,1
648.0,1178.81772,1655.7121062894405,18.32848739495789,12
649.0,3250.8633,1646.5980946951868,18.22759663865537,5
650.0,3338.9708100000003,1655.7121062894405,18.32848739495789,5
651.0,2236.10784,1655.7121062894405,18.32848739495789,3
653.0,1020.83184,1664.8261178836945,18.429378151260412,12
654.0,2576.38512,1667.8641217484455,18.46300840336125,1
655.0,2685.7599600000003,1658.7501101541918,18.36211764705873,1
657.0,1093.7484,1658.7501101541918,18.36211764705873,12
658.0,154.94769000000002,1661.7881140189431,18.39574789915957,11
659.0,2138.88576,1664.8261178836945,18.429378151260412,3
660.0,2175.34404,1676.9781333426993,18.56389915966377,3
661.0,1209.19962,1686.0921449369534,18.664789915966296,12
664.0,1394.5292100000001,1689.1301488017045,18.69842016806713,2
